Marca_Modelo,Precio,Km,Transmision,Combustible,URL
Mitsubishi L200 2023,"US$24,000","11,200km",Mecánica,Diesel,https://neoauto.com/auto/usado/mitsubishi-l200-2023-1848943
Nissan Qashqai 2015,"US$15,500","83,000km",Automática,Gasolina,https://neoauto.com/auto/usado/nissan-qashqai-2015-1863429
Hyundai Grand I10 2016,"US$10,500","55,000km",Automática,Gasolina,https://neoauto.com/auto/usado/hyundai-grand-i10-2016-1863640
Bmw X3 30i 2024,"US$52,990","12,800km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/bmw-x3-30i-2024-1859128
Ford Ecosport 2014,"US$12,900","87,781km",Mecánica,Gasolina,https://neoauto.com/auto/usado/ford-ecosport-2014-1862214
Bmw 520-I 2014,"US$15,000","90,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/bmw-520-i-2014-1834055
Subaru Forester 2024,"US$33,000","19,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/subaru-forester-2024-1790840
Volkswagen Tiguan Allspace 2020,"US$24,500","101,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/volkswagen-tiguan-allspace-2020-1861570
Ram 1000 2024,"US$22,800","17,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/ram-1000-2024-1863616
Mazda Cx-5 2025,"US$33,500","14,500km",Automática,Gasolina,https://neoauto.com/auto/usado/mazda-cx-5-2025-1856179
Renault Fluence 2012,"US$8,700","29,700km",Mecánica,Gasolina,https://neoauto.com/auto/usado/renault-fluence-2012-1862657
Bmw X1 18i 2018,"US$20,900","64,300km",Automática,Gasolina,https://neoauto.com/auto/usado/bmw-x1-18i-2018-1857962
Bmw 535igt 2013,"US$15,000","95,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/bmw-535igt-2013-1862938
Volkswagen Jetta 2021,"US$16,500","55,500km",Mecánica,Gasolina,https://neoauto.com/auto/usado/volkswagen-jetta-2021-1670394
